0241_22761 | line 275 | '1'
0241_22761 | line 313 | '0'
0241_22761 | line 321 | '1'
0241_22761 | line 341 | '0'
0241_22761 | line 349 | '0'
0241_22761 | line 357 | '1'
0241_22761 | line 411 | '0'
0241_22761 | line 415 | '1'
0241_22761 | line 423 | '2'
0241_22761 | line 431 | '3'
0241_22761 | line 475 | '0'
0241_22761 | line 489 | '0'
0241_22761 | line 493 | '1'
0241_22761 | line 501 | '2'
0241_22761 | line 509 | '3'
0241_22761 | line 553 | '0'
0514_1778 | line 5 | 'i'
0514_1778 | line 21 | 'V'
0514_1778 | line 41 | 'X'
0846_4283 | line 7 | 'ą'
0513_1777 | line 5 | 'i'
0513_1777 | line 37 | 'V'
0333_22407 | line 3 | '9'
0922_1861 | line 17 | 'O'
0922_1861 | line 29 | 'O'
0922_1861 | line 41 | 'O'
0922_1861 | line 53 | 'O'
0922_1861 | line 69 | 'O'
0922_1861 | line 85 | 'O'
0154_26980 | line 9 | 'ś'
0749_16507 | line 157 | '1'
0749_16507 | line 165 | '1'
0749_16507 | line 173 | '2'
0749_16507 | line 181 | '2'
0749_16507 | line 189 | '2'
0749_16507 | line 193 | '2'
0749_16507 | line 201 | '3'
0749_16507 | line 209 | '1'
0749_16507 | line 213 | '1'
0749_16507 | line 217 | '2'
0749_16507 | line 225 | '2'
0749_16507 | line 229 | '2'
0749_16507 | line 233 | '3'
0749_16507 | line 245 | '2'
0749_16507 | line 301 | '3'
0749_16507 | line 1093 | '2'
0749_16507 | line 1101 | '1'
0749_16507 | line 1105 | '3'
0749_16507 | line 1113 | '2'
0749_16507 | line 1121 | '1'
0749_16507 | line 1125 | '1'
0749_16507 | line 1129 | '2'
0749_16507 | line 1133 | '3'
0749_16507 | line 1137 | '2'
0749_16507 | line 1141 | '1'
0749_16507 | line 1145 | '2'
0749_16507 | line 1149 | '2'
0749_16507 | line 1153 | '1'
0749_16507 | line 1157 | '1'
0749_16507 | line 1165 | '1'
0749_16507 | line 1173 | '1'
0749_16507 | line 1177 | '2'
0749_16507 | line 1181 | '1'
0749_16507 | line 1185 | '1'
0749_16507 | line 1205 | '1'
0749_16507 | line 1209 | '1'
0749_16507 | line 1227 | ']'
0749_16507 | line 1233 | '1'
0822_6356 | line 17 | '–'
